,CONEXION,SECTOR,CDESTIPSER,MES,AÑO,CATEGORIA,fecha_inicio,hora_inicio,fecha_fin,hora_fin,latitud,longitud,fecha_hora_inicio,fecha_hora_fin,tiempo_resta
412,1061475,S58,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-24,1960-01-01 18:02:00,2025-07-27,1960-01-01 01:30:58.298,-6.488066371103815,-76.34830672253197,2025-07-24 18:02:00-01:00,2025-07-27 01:30:58.298000-01:00,2
413,1061475,S58,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-04,1960-01-01 22:57:00,2025-08-06,1960-01-01 15:33:58.676,-6.488066371103815,-76.34830672253197,2025-08-04 22:57:00-01:00,2025-08-06 15:33:58.676000-01:00,1
414,3064288,S58,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-11,1960-01-01 17:57:00,2025-11-13,1960-01-01 03:03:53.361,-6.477146058433557,-76.38189766404619,2025-11-11 17:57:00-01:00,2025-11-13 03:03:53.361000-01:00,1
415,1030380,S58,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-22,1960-01-01 07:08:00,2025-03-24,1960-01-01 05:43:00.750,-6.485759282500857,-76.36982350073693,2025-03-22 07:08:00-01:00,2025-03-24 05:43:00.750000-01:00,1
416,1018309,S58,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-30,1960-01-01 17:16:00,2025-05-02,1960-01-01 02:58:38.894,-6.488066371103815,-76.38344563370124,2025-04-30 17:16:00-01:00,2025-05-02 02:58:38.894000-01:00,1
417,1066188,S58,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-04,1960-01-01 07:54:00,2025-12-05,1960-01-01 09:54:04.552,-6.495448983620093,-76.37632497328808,2025-12-04 07:54:00-01:00,2025-12-05 09:54:04.552000-01:00,1
418,1845946,S58,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-24,1960-01-01 13:43:00,2025-06-26,1960-01-01 21:34:30.976,-6.498217435398113,-76.36672756142687,2025-06-24 13:43:00-01:00,2025-06-26 21:34:30.976000-01:00,2
419,830629,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-24,1960-01-01 20:33:00,2025-02-28,1960-01-01 15:39:42.484,-6.486835925163391,-76.3452107832219,2025-02-24 20:33:00-01:00,2025-02-28 15:39:42.484000-01:00,3
420,1099727,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-19,1960-01-01 07:45:00,2025-02-21,1960-01-01 19:32:55.616,-6.489912034379753,-76.38824433963184,2025-02-19 07:45:00-01:00,2025-02-21 19:32:55.616000-01:00,2
421,1082840,S81,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-11,1960-01-01 07:26:00,2025-09-13,1960-01-01 13:04:34.916,-6.486528313208807,-76.36997829770243,2025-09-11 07:26:00-01:00,2025-09-13 13:04:34.916000-01:00,2
422,2100094,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-27,1960-01-01 09:43:00,2025-03-01,1960-01-01 12:16:47.292,-6.47360844166466,-76.36316723122029,2025-02-27 09:43:00-01:00,2025-03-01 12:16:47.292000-01:00,2
423,1079788,S81,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-24,1960-01-01 21:34:00,2025-09-28,1960-01-01 05:55:18.974,-6.493603340639781,-76.36239324639278,2025-09-24 21:34:00-01:00,2025-09-28 05:55:18.974000-01:00,3
424,1098082,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-26,1960-01-01 18:29:00,2025-02-28,1960-01-01 14:47:42.692,-6.486066894924858,-76.36719195232338,2025-02-26 18:29:00-01:00,2025-02-28 14:47:42.692000-01:00,1
425,819160,S81,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-06,1960-01-01 02:00:00,2025-07-07,1960-01-01 14:10:21.828,-6.508214495473921,-76.3452107832219,2025-07-06 02:00:00-01:00,2025-07-07 14:10:21.828000-01:00,1
426,1102330,S81,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-17,1960-01-01 06:53:00,2025-01-18,1960-01-01 15:49:05.128,-6.484067410813018,-76.3540342102556,2025-01-17 06:53:00-01:00,2025-01-18 15:49:05.128000-01:00,1
427,2039118,S81,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-31,1960-01-01 19:43:00,2026-01-04,1960-01-01 04:26:10.768,-6.497909830397307,-76.37028789163345,2025-12-31 19:43:00-01:00,2026-01-04 04:26:10.768000-01:00,3
428,2052426,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-25,1960-01-01 13:46:00,2025-02-28,1960-01-01 02:37:31.045,-6.4966794085132005,-76.36146446459975,2025-02-25 13:46:00-01:00,2025-02-28 02:37:31.045000-01:00,2
429,1087718,S81,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-13,1960-01-01 08:35:00,2025-05-14,1960-01-01 17:56:02.328,-6.516827187675784,-76.37121667342647,2025-05-13 08:35:00-01:00,2025-05-14 17:56:02.328000-01:00,1
430,1092470,S81,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-13,1960-01-01 15:28:00,2025-05-16,1960-01-01 13:18:31.236,-6.532668003103189,-76.38344563370124,2025-05-13 15:28:00-01:00,2025-05-16 13:18:31.236000-01:00,2
431,820128,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-15,1960-01-01 19:36:00,2025-02-17,1960-01-01 04:33:54.742,-6.486682119209571,-76.36750154625439,2025-02-15 19:36:00-01:00,2025-02-17 04:33:54.742000-01:00,1
432,2970375,S81,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-13,1960-01-01 16:59:00,2025-05-16,1960-01-01 01:23:32.154,-6.482990762237061,-76.38777994873533,2025-05-13 16:59:00-01:00,2025-05-16 01:23:32.154000-01:00,2
433,2060450,S81,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-31,1960-01-01 17:27:00,2026-01-02,1960-01-01 22:31:05.432,-6.47776129360153,-76.38545799425277,2025-12-31 17:27:00-01:00,2026-01-02 22:31:05.432000-01:00,2
434,3061700,S81,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-30,1960-01-01 11:19:00,2025-05-01,1960-01-01 11:26:45.496,-6.478222719485261,-76.37214545521948,2025-04-30 11:19:00-01:00,2025-05-01 11:26:45.496000-01:00,1
435,1389649,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-20,1960-01-01 08:41:00,2025-02-22,1960-01-01 17:16:13.440,-6.477607484879856,-76.37384822184002,2025-02-20 08:41:00-01:00,2025-02-22 17:16:13.440000-01:00,2
436,1103280,S81,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-06,1960-01-01 06:18:00,2025-01-07,1960-01-01 12:38:05.880,-6.475915585847604,-76.36471520087532,2025-01-06 06:18:00-01:00,2025-01-07 12:38:05.880000-01:00,1
437,825410,S81,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-10,1960-01-01 11:00:00,2025-02-14,1960-01-01 07:06:08.096,-6.485913088736327,-76.37617017632257,2025-02-10 11:00:00-01:00,2025-02-14 07:06:08.096000-01:00,3
438,822759,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-08,1960-01-01 14:12:00,2025-12-09,1960-01-01 16:28:39.660,-6.474223681144331,-76.37090707949547,2025-12-08 14:12:00-01:00,2025-12-09 16:28:39.660000-01:00,1
440,810087,S77,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-03,1960-01-01 12:16:00,2025-09-05,1960-01-01 08:38:03.838,-6.486220701066449,-76.40202126956163,2025-09-03 12:16:00-01:00,2025-09-05 08:38:03.838000-01:00,1
441,841060,S77,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-04,1960-01-01 20:33:00,2025-05-06,1960-01-01 05:14:57.298,-6.502370084494514,-76.37539619149506,2025-05-04 20:33:00-01:00,2025-05-06 05:14:57.298000-01:00,1
442,830687,S77,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-24,1960-01-01 15:54:00,2025-08-26,1960-01-01 21:13:37.760,-6.495602786896265,-76.3540342102556,2025-08-24 15:54:00-01:00,2025-08-26 21:13:37.760000-01:00,2
443,836402,S77,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-25,1960-01-01 20:05:00,2025-06-29,1960-01-01 02:36:16.355,-6.471301286940125,-76.39474581218299,2025-06-25 20:05:00-01:00,2025-06-29 02:36:16.355000-01:00,3
444,1596118,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-05,1960-01-01 11:13:00,2025-12-07,1960-01-01 00:43:44.302,-6.473300821643711,-76.40140208169963,2025-12-05 11:13:00-01:00,2025-12-07 00:43:44.302000-01:00,1
446,792290,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-05,1960-01-01 13:51:00,2025-12-09,1960-01-01 07:31:29.462,-6.483759797168786,-76.38700596390781,2025-12-05 13:51:00-01:00,2025-12-09 07:31:29.462000-01:00,3
448,811106,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-19,1960-01-01 21:58:00,2025-12-21,1960-01-01 22:52:49.032,-6.478991761687113,-76.40093769080312,2025-12-19 21:58:00-01:00,2025-12-21 22:52:49.032000-01:00,2
449,776189,S77,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-23,1960-01-01 20:21:00,2025-03-26,1960-01-01 20:32:16.264,-6.46730219378996,-76.39304304556244,2025-03-23 20:21:00-01:00,2025-03-26 20:32:16.264000-01:00,3
451,2781332,S77,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-24,1960-01-01 13:06:00,2025-06-25,1960-01-01 14:47:29.508,-6.497909830397307,-76.37911131866714,2025-06-24 13:06:00-01:00,2025-06-25 14:47:29.508000-01:00,1
453,809641,S77,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-21,1960-01-01 13:59:00,2025-07-24,1960-01-01 02:23:03.095,-6.494833770045338,-76.37586058239157,2025-07-21 13:59:00-01:00,2025-07-24 02:23:03.095000-01:00,2
454,854908,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-02,1960-01-01 20:00:00,2025-12-04,1960-01-01 17:40:09.908,-6.493910948273156,-76.37555098846056,2025-12-02 20:00:00-01:00,2025-12-04 17:40:09.908000-01:00,1
455,1556107,S77,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-02,1960-01-01 22:40:00,2025-01-05,1960-01-01 08:20:21.854,-6.468994121677693,-76.36595357659935,2025-01-02 22:40:00-01:00,2025-01-05 08:20:21.854000-01:00,2
456,2617443,S77,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-16,1960-01-01 13:01:00,2025-01-18,1960-01-01 02:25:40.847,-6.51559681212555,-76.34319842267035,2025-01-16 13:01:00-01:00,2025-01-18 02:25:40.847000-01:00,1
457,791941,S77,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-04,1960-01-01 02:49:00,2025-12-07,1960-01-01 08:57:40.588,-6.497909830397307,-76.37183586128849,2025-12-04 02:49:00-01:00,2025-12-07 08:57:40.588000-01:00,3
458,2176387,S77,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-26,1960-01-01 17:37:00,2025-05-27,1960-01-01 19:02:38.544,-6.501754879385033,-76.35124786487653,2025-05-26 17:37:00-01:00,2025-05-27 19:02:38.544000-01:00,1
459,791250,S77,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-30,1960-01-01 22:34:00,2025-02-03,1960-01-01 05:10:10.458,-6.499447853520182,-76.36332202818579,2025-01-30 22:34:00-01:00,2025-02-03 05:10:10.458000-01:00,3
462,2384080,S44,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-11,1960-01-01 05:56:00,2025-03-13,1960-01-01 20:57:23.672,-6.478530336506663,-76.36564398266835,2025-03-11 05:56:00-01:00,2025-03-13 20:57:23.672000-01:00,2
463,1203449,S44,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-25,1960-01-01 19:45:00,2025-02-27,1960-01-01 21:17:44.448,-6.506215099368156,-76.37353862790901,2025-02-25 19:45:00-01:00,2025-02-27 21:17:44.448000-01:00,2
464,775698,S44,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-24,1960-01-01 16:51:00,2025-08-27,1960-01-01 20:53:22.792,-6.510982876941147,-76.36486999784083,2025-08-24 16:51:00-01:00,2025-08-27 20:53:22.792000-01:00,3
465,775190,S44,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-27,1960-01-01 04:01:00,2025-10-29,1960-01-01 17:50:13.044,-6.486682119209571,-76.38004010046016,2025-10-27 04:01:00-01:00,2025-10-29 17:50:13.044000-01:00,2
466,693859,S79,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-27,1960-01-01 01:46:00,2025-11-29,1960-01-01 05:21:20.334,-6.4737622516048585,-76.38886352749385,2025-11-27 01:46:00-01:00,2025-11-29 05:21:20.334000-01:00,2
467,712640,S79,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-05,1960-01-01 20:59:00,2025-12-08,1960-01-01 22:30:50.224,-6.470532233023344,-76.39381703038995,2025-12-05 20:59:00-01:00,2025-12-08 22:30:50.224000-01:00,3
468,712746,S79,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-27,1960-01-01 15:00:00,2025-11-28,1960-01-01 16:51:25.984,-6.474685110262102,-76.38096888225317,2025-11-27 15:00:00-01:00,2025-11-28 16:51:25.984000-01:00,1
470,724034,S79,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-07,1960-01-01 12:22:00,2025-12-10,1960-01-01 23:51:09.352,-6.531899043052384,-76.38143327314968,2025-12-07 12:22:00-01:00,2025-12-10 23:51:09.352000-01:00,3
471,716804,S79,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-28,1960-01-01 02:15:00,2025-03-31,1960-01-01 04:21:23.862,-6.463764508088646,-76.35821372832419,2025-03-28 02:15:00-01:00,2025-03-31 04:21:23.862000-01:00,3
472,2519462,S79,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-11,1960-01-01 20:00:00,2025-12-14,1960-01-01 05:19:17.136,-6.495141376926724,-76.34319842267035,2025-12-11 20:00:00-01:00,2025-12-14 05:19:17.136000-01:00,2
473,758116,S79,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-31,1960-01-01 17:44:00,2025-08-03,1960-01-01 16:08:13.848,-6.502370084494514,-76.3781825368741,2025-07-31 17:44:00-01:00,2025-08-03 16:08:13.848000-01:00,2
474,754510,S79,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-07,1960-01-01 08:17:00,2025-01-09,1960-01-01 22:34:59.776,-6.472993201435365,-76.40047329990661,2025-01-07 08:17:00-01:00,2025-01-09 22:34:59.776000-01:00,2
475,712054,S79,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-26,1960-01-01 10:29:00,2025-11-28,1960-01-01 23:00:46.008,-6.478991761687113,-76.36146446459975,2025-11-26 10:29:00-01:00,2025-11-28 23:00:46.008000-01:00,2
478,695048,S79,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-19,1960-01-01 08:19:00,2025-02-21,1960-01-01 14:26:12.848,-6.463303068998496,-76.35805893135868,2025-02-19 08:19:00-01:00,2025-02-21 14:26:12.848000-01:00,2
480,2470098,S79,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-16,1960-01-01 13:31:00,2025-09-19,1960-01-01 02:26:28.404,-6.490988668167498,-76.35527258597962,2025-09-16 13:31:00-01:00,2025-09-19 02:26:28.404000-01:00,2
481,1560592,S79,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-28,1960-01-01 11:17:00,2025-01-31,1960-01-01 04:31:23.745,-6.488066371103815,-76.36889471894392,2025-01-28 11:17:00-01:00,2025-01-31 04:31:23.745000-01:00,2
482,754176,S79,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-04,1960-01-01 15:24:00,2025-01-07,1960-01-01 12:43:15.404,-6.54574014304166,-76.35960690101372,2025-01-04 15:24:00-01:00,2025-01-07 12:43:15.404000-01:00,2
483,1696647,S40,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-23,1960-01-01 13:04:00,2025-01-26,1960-01-01 01:22:43.283,-6.477299867295868,-76.38251685190822,2025-01-23 13:04:00-01:00,2025-01-26 01:22:43.283000-01:00,2
485,745042,S40,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-06,1960-01-01 12:00:00,2025-11-07,1960-01-01 19:41:33.680,-6.478837953340518,-76.37214545521948,2025-11-06 12:00:00-01:00,2025-11-07 19:41:33.680000-01:00,1
486,749933,S40,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-24,1960-01-01 18:58:00,2025-01-26,1960-01-01 06:03:07.150,-6.488373982119399,-76.34644915894593,2025-01-24 18:58:00-01:00,2025-01-26 06:03:07.150000-01:00,1
487,736043,S40,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-06,1960-01-01 22:30:00,2025-01-08,1960-01-01 18:02:52.376,-6.466840757928487,-76.39877053328605,2025-01-06 22:30:00-01:00,2025-01-08 18:02:52.376000-01:00,1
488,1790145,S40,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-24,1960-01-01 02:39:00,2025-10-26,1960-01-01 16:48:38.456,-6.500678268631994,-76.36688235839237,2025-10-24 02:39:00-01:00,2025-10-26 16:48:38.456000-01:00,2
489,1790145,S40,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-08,1960-01-01 21:53:00,2025-11-11,1960-01-01 14:15:52.192,-6.500678268631994,-76.36688235839237,2025-11-08 21:53:00-01:00,2025-11-11 14:15:52.192000-01:00,2
490,1696989,S40,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-24,1960-01-01 08:03:00,2025-08-27,1960-01-01 23:51:31.048,-6.475146538958138,-76.36935910984042,2025-08-24 08:03:00-01:00,2025-08-27 23:51:31.048000-01:00,3
492,1850284,S7,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-01,1960-01-01 15:47:00,2025-04-05,1960-01-01 10:34:41.444,-6.47360844166466,-76.39908012721708,2025-04-01 15:47:00-01:00,2025-04-05 10:34:41.444000-01:00,3
493,762371,S7,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-11,1960-01-01 22:38:00,2025-12-13,1960-01-01 15:28:35.180,-6.530053534109572,-76.38004010046016,2025-12-11 22:38:00-01:00,2025-12-13 15:28:35.180000-01:00,1
496,308614,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-10,1960-01-01 22:16:00,2025-12-12,1960-01-01 15:29:07.760,-6.496217999530871,-76.38375522763224,2025-12-10 22:16:00-01:00,2025-12-12 15:29:07.760000-01:00,1
497,308614,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-17,1960-01-01 09:59:00,2025-12-21,1960-01-01 00:30:31.626,-6.496217999530871,-76.38375522763224,2025-12-17 09:59:00-01:00,2025-12-21 00:30:31.626000-01:00,3
498,296957,S82,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-21,1960-01-01 14:00:00,2025-11-23,1960-01-01 08:39:58.618,-6.480068418800303,-76.39660337576902,2025-11-21 14:00:00-01:00,2025-11-23 08:39:58.618000-01:00,1
499,2186782,S82,AG: Conexiones Domiciliarias                      ,4,2025,Rotura Tuberia Matriz,2025-04-13,1960-01-01 11:29:00,2025-04-16,1960-01-01 08:33:37.350,-6.508214495473921,-76.35991649494473,2025-04-13 11:29:00-01:00,2025-04-16 08:33:37.350000-01:00,2
500,2915152,S82,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-28,1960-01-01 02:08:00,2025-03-29,1960-01-01 06:19:29.818,-6.495602786896265,-76.38313603977024,2025-03-28 02:08:00-01:00,2025-03-29 06:19:29.818000-01:00,1
503,892889,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-20,1960-01-01 21:02:00,2025-12-24,1960-01-01 18:45:27.856,-6.477453676111302,-76.38777994873533,2025-12-20 21:02:00-01:00,2025-12-24 18:45:27.856000-01:00,3
504,892889,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-12,1960-01-01 05:08:00,2025-12-15,1960-01-01 02:06:15.136,-6.477453676111302,-76.38777994873533,2025-12-12 05:08:00-01:00,2025-12-15 02:06:15.136000-01:00,2
505,1543754,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-24,1960-01-01 15:53:00,2025-12-28,1960-01-01 04:20:10.563,-6.482221726132378,-76.36765634321989,2025-12-24 15:53:00-01:00,2025-12-28 04:20:10.563000-01:00,3
506,1543754,S82,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-23,1960-01-01 06:32:00,2025-12-26,1960-01-01 14:11:41.260,-6.482221726132378,-76.36765634321989,2025-12-23 06:32:00-01:00,2025-12-26 14:11:41.260000-01:00,3
507,2826520,S82,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-09,1960-01-01 05:54:00,2025-08-10,1960-01-01 10:40:16.944,-6.492834320733975,-76.35666575866915,2025-08-09 05:54:00-01:00,2025-08-10 10:40:16.944000-01:00,1
508,1868717,S82,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-06,1960-01-01 07:24:00,2025-10-08,1960-01-01 12:01:14.096,-6.494372359370743,-76.35326022542807,2025-10-06 07:24:00-01:00,2025-10-08 12:01:14.096000-01:00,2
509,1972780,S82,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-21,1960-01-01 11:29:00,2025-02-24,1960-01-01 07:54:47.452,-6.478068910904234,-76.3543438041866,2025-02-21 11:29:00-01:00,2025-02-24 07:54:47.452000-01:00,2
510,305219,S82,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-30,1960-01-01 05:21:00,2025-04-01,1960-01-01 08:56:38.682,-6.506830299017543,-76.37415781577103,2025-03-30 05:21:00-01:00,2025-04-01 08:56:38.682000-01:00,2
511,1131112,S30,AG: Conexiones Domiciliarias                      ,10,2025,Rotura Tuberia Matriz,2025-10-15,1960-01-01 03:04:00,2025-10-18,1960-01-01 18:01:33.908,-6.492526712442728,-76.37895652170164,2025-10-15 03:04:00-01:00,2025-10-18 18:01:33.908000-01:00,3
512,1138410,S30,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-18,1960-01-01 16:25:00,2025-05-21,1960-01-01 19:38:12.552,-6.480837458188535,-76.37353862790901,2025-05-18 16:25:00-01:00,2025-05-21 19:38:12.552000-01:00,3
513,1791475,S30,AG: Conexiones Domiciliarias                      ,11,2025,Rotura Tuberia Matriz,2025-11-22,1960-01-01 16:30:00,2025-11-24,1960-01-01 03:36:48.115,-6.487143536930192,-76.35991649494473,2025-11-22 16:30:00-01:00,2025-11-24 03:36:48.115000-01:00,1
514,1873322,S36,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-17,1960-01-01 21:53:00,2025-09-21,1960-01-01 01:25:58.226,-6.512674658100753,-76.37260984611599,2025-09-17 21:53:00-01:00,2025-09-21 01:25:58.226000-01:00,3
515,1034604,S36,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-23,1960-01-01 22:28:00,2025-01-25,1960-01-01 12:26:10.852,-6.488527787556757,-76.3543438041866,2025-01-23 22:28:00-01:00,2025-01-25 12:26:10.852000-01:00,1
516,1048954,S36,AG: Conexiones Domiciliarias                      ,3,2025,Rotura Tuberia Matriz,2025-03-13,1960-01-01 22:58:00,2025-03-17,1960-01-01 03:57:29.046,-6.478837953340518,-76.35805893135868,2025-03-13 22:58:00-01:00,2025-03-17 03:57:29.046000-01:00,3
517,1438945,S54,AG: Conexiones Domiciliarias                      ,6,2025,Rotura Tuberia Matriz,2025-06-17,1960-01-01 08:47:00,2025-06-20,1960-01-01 15:04:29.632,-6.512213263804534,-76.3450559862564,2025-06-17 08:47:00-01:00,2025-06-20 15:04:29.632000-01:00,3
518,1073633,S54,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-06,1960-01-01 04:04:00,2025-05-09,1960-01-01 12:17:59.548,-6.507753097078968,-76.35651096170365,2025-05-06 04:04:00-01:00,2025-05-09 12:17:59.548000-01:00,3
519,1070511,S54,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-18,1960-01-01 05:49:00,2025-09-19,1960-01-01 18:49:25.416,-6.473454631677611,-76.37632497328808,2025-09-18 05:49:00-01:00,2025-09-19 18:49:25.416000-01:00,1
521,1439092,S54,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-12,1960-01-01 15:31:00,2025-02-15,1960-01-01 10:07:43.416,-6.485297863512822,-76.36038088584122,2025-02-12 15:31:00-01:00,2025-02-15 10:07:43.416000-01:00,2
522,1439092,S54,AG: Conexiones Domiciliarias                      ,2,2025,Rotura Tuberia Matriz,2025-02-11,1960-01-01 06:30:00,2025-02-13,1960-01-01 16:44:31.848,-6.485297863512822,-76.36038088584122,2025-02-11 06:30:00-01:00,2025-02-13 16:44:31.848000-01:00,2
523,1439092,S54,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-22,1960-01-01 03:30:00,2025-01-23,1960-01-01 21:36:56.904,-6.485297863512822,-76.36038088584122,2025-01-22 03:30:00-01:00,2025-01-23 21:36:56.904000-01:00,1
524,1457747,S54,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-11,1960-01-01 09:42:00,2025-12-12,1960-01-01 14:40:27.228,-6.497294619831413,-76.37400301880552,2025-12-11 09:42:00-01:00,2025-12-12 14:40:27.228000-01:00,1
